Business Unit,Description,L D,Co,BU Ty,Subledger Inactive,M C,Sector,Sub-Segment,Province,District,WCB Rates,Promo Expense,Category Code 07,Closed Business,IMS Fee,Admin Fee,Summary Reporting,Statement Formats,Regional VP,Fringe Calc,JV Units,Mgmt Fee,Bank Charges,Regional Director,Smallwares R&M,President,Multi Group,Group,Contract Terms,Cat Code 24,Fringe Caps,IFRS15,Commissions,COVID-19 Status,DM Assistants,Census Metro Area CMA,Online Reporting Access 1,Online Reporting Access 2,Online Reporting Access 3,Insurance,BE - Digital Hospitality,Finance Charge Exceptions,Business Line,BE - Like for Like,Rebate passed to Client,Acquisitions,Key Client Account,MAP1 Royalty Brands,Special Services,BE Online Reporting Access 4,US Data - Office Type,US Data - Compass Sector,BE - Top Retail Accounts,Concur BU,HFM Reporting,CAT 50,P E,Tax Rate Area,Address Number,Address Number1,Address Number2,Address Number3,Address Number4,Address Number5,Address Number6,Related BU,Related BU Description,Adj Entry,Adjustment Entry Description,Project Number,Project Description
"       00843",District #843- Marie Steele,9,00100,DS," "," ",27,OH,BC,843,BCB," "," "," "," "," "," "," ",67," "," "," "," ",170," ",27," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",743083,,,,,,,"       00843",District #843- Marie Steele,0,Not Restricted,"            ",
"       00844",District #844- Donna Barnes,9,00100,DS," "," ",17,OH,ON,844," "," "," "," "," "," "," "," ",117," "," "," "," ",32," ",17," "," "," "," "," "," "," "," "," ",06," ",88," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",747927,,,,,,,"       00844",District #844- Donna Barnes,0,Not Restricted,"            ",
"       00845",District #845- B. Trudel,9,00100,DS," "," ",27,OH,ON,845,OR," "," "," "," "," "," "," ",91," "," "," "," ",38," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",752505,,,,,,,"       00845",District #845- B. Trudel,0,Not Restricted,"            ",
"       00846",District #846 - Leigh Roderick,9,00100,DS," "," ",27,OH,AB,846,AB,PRR," "," "," "," "," "," ",92," "," "," "," ",165," ",27," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00846",District #846 - Leigh Roderick,0,Not Restricted,"            ",
"       00847",District #847- S. Aokiam,9,00100,DS," "," ",43,OH,ON,847," "," "," "," "," "," "," "," ",20," "," "," "," ",09," ",03," "," "," "," "," "," "," "," ",050," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00847",District #847- S. Aokiam,0,Not Restricted,"            ",
"       00848",District #848 - R. Sharpe,9,00100,DS," "," ",36,OH,ON,848," "," "," "," "," "," "," "," ",10," "," "," "," ",156," ",03," "," "," "," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00848",District #848 - R. Sharpe,0,Not Restricted,"            ",
"       00849",District #849 - B. Duff,9,00100,DS," "," ",36,OH,AB,849," "," "," "," "," "," "," "," ",10," "," "," "," ",156," ",03," "," "," "," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00849",District #849 - B. Duff,0,Not Restricted,"            ",
"       00850",District #850 - Fabian Paul-TM,9,00170,DS," "," ",41,OH,BC,850," "," "," ",CL," "," "," "," ",15,NIL," "," ",N/A," "," ",02," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," ",N," ",131326,,,,,,,"       00850",District #850 - Fabian Paul-TM,0,Not Restricted,"            ",
"       00851",District #851 - TM,9,00170,TM," "," ",22,OH,BC,851,BCB,N/A," "," "," "," "," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",131327,,,,,,,"       00851",District #851 - TM,0,Not Restricted,"            ",
"       00852",District #852 - No longer used,9,00170,DS," "," ",22,OH,ON,852,OR,N/A," "," "," "," "," "," "," "," "," "," "," "," "," ",01," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," ",N," ",131328,,,,,,,"       00852",District #852 - No longer used,0,Not Restricted,"            ",
"       00853",Greg Bayne Overhead,9,00170,VR," "," ",17,OH,NS," ",NSH,N/A," "," "," "," "," "," ",08," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",03," ",57," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,VR," "," "," ",139682,,,,,,,"       00853",Greg Bayne Overhead,0,Not Restricted,"            ",
"       00854",District #854 - Shawn Dwyer,9,00170,DS," "," ",27,OH,NS,854,NS,N/A," "," "," "," "," "," ",24," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",89," ",57," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",156351,,,,,,,"       00854",District #854 - Shawn Dwyer,0,Not Restricted,"            ",
"       00855",District #855 - Todd Walsh,9,00150,DS," "," ",13,OH,BC,855,BCB,N/A," "," "," "," ",01," ",96," "," "," "," ",14," ",13," "," "," "," "," "," "," "," "," ",74," ",95," "," "," "," "," "," "," "," "," ",10," "," "," "," "," ",1,DS," "," "," ",156352,,,,,,,"       00855",District #855 - Todd Walsh,0,Not Restricted,"            ",
"       00856",District #856,9,00100,TM," "," ",18,OH,BC,91,BCB," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",172056,,,,,,,"       00856",District #856,0,Not Restricted,"            ",
"       00857",District #857 - Todd Walsh,9,00350,DS," "," ",13,OH,BC,857," "," "," "," "," "," ",01," ",96," "," "," "," ",52," ",13," "," "," "," "," "," "," "," "," ",07," ",95," "," "," "," "," "," "," "," "," ",10," "," "," "," "," ",1,DS," "," "," ",426847,,,,,,,"       00857",District #857 - Todd Walsh,0,Not Restricted,"            ",
"       00858",District #858 - J.Nesbitt,9,00100,TM," "," ",18,OH,ON,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",64," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",470725,,,,,,,"       00858",District #858 - J.Nesbitt,0,Not Restricted,"            ",
"       00859",District #859 - J. Nunez,9,00100,DS," "," ",36,OH,AB,859,ABJ," "," "," "," "," "," "," ",10," "," "," "," ",156," ",03," "," "," "," "," "," "," "," "," ",01," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",603109,,,,,,,"       00859",District #859 - J. Nunez,0,Not Restricted,"            ",
"       00860",District # 860 - D. Rewbury,9,00100,DS," "," ",16,OH,ON,860,OJ," "," "," "," "," "," "," ",23," "," "," "," ",146," ",16," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," ",B,Y," "," "," "," "," "," "," "," ",1,DS," "," "," ",603110,,,,,,,"       00860",District # 860 - D. Rewbury,0,Not Restricted,"            ",
"       00861",District #861 - Tim Lea,9,00100,DS," "," ",36,OH,AB,861," "," "," "," "," "," "," "," ",10," "," "," "," ",156," ",03," "," "," "," "," "," "," "," "," ",01," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00861",District #861 - Tim Lea,0,Not Restricted,"            ",
"       00862",District #862 - No longer used,9,00100,DS," "," ",13,OH,ON,862,OR,N/A," "," "," "," "," "," ",96," "," "," "," "," "," ",13," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",587363,,,,,,,"       00862",District #862 - No longer used,0,Not Restricted,"            ",
"       00863",District #863 - E. Ostling -TM,9,00100,TM," "," ",18,OH,NS,91," ",N/A," ",CL," "," "," "," "," ",NIL," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," ",06," "," "," ",N/A," "," "," "," "," ",WS," "," "," "," "," "," "," "," ",TM," ",N," ",603112,,,,,,,"       00863",District #863 - E. Ostling -TM,0,Not Restricted,"            ",
"       00864",District #864 -Leta Hill - TM,9,00100,DS," "," ",13,OH,BC,864,BCJ,N/A," ",CL," "," ",01," ",96," "," "," "," "," "," ",13," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",577001,,,,,,,"       00864",District #864 -Leta Hill - TM,0,Not Restricted,"            ",
"       00865",District #865 - B. Duff,9,00100,DS," "," ",36,OH,AB,865," "," "," "," "," "," "," "," ",101," "," "," "," ",156," ",03," "," "," "," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," ",004," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00865",District #865 - B. Duff,0,Not Restricted,"            ",
"       00866",District #866 - G. Adair- TM,9,00100,TM," "," ",18,OH,ON,91," "," "," ",CL," "," "," "," "," ",NIL," "," ",N/A," "," ",21," "," "," "," "," "," "," "," "," "," "," "," "," ",N/A," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       00866",District #866 - G. Adair- TM,0,Not Restricted,"            ",
"       00867",District #867 - Josue Ascanio,9,00100,DS," "," ",13,OH,BC,867,BCJ,N/A," "," "," "," ",01," ",96," "," "," "," ",97," ",13," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," ",10," "," "," "," "," ",1,DS," "," "," ",595375,,,,,,,"       00867",District #867 - Josue Ascanio,0,Not Restricted,"            ",
"       00868",District #868 - Michelle Hui,9,00100,DS," "," ",13,OH,BC,868,BCJ," "," "," "," "," ",01," ",96," "," "," "," ",97," ",13," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," ",10," "," "," "," "," ",1,DS," "," "," ",674572,,,,,,,"       00868",District #868 - Michelle Hui,0,Not Restricted,"            ",
"       00869",District #869-Belle DaleWillis,9,00100,DS," "," ",13,OH,BC,869,BCJ," "," "," "," "," ",01," ",96," "," "," "," ",97," ",13," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," ",10," "," "," "," "," ",1,DS," "," "," ",674575,,,,,,,"       00869",District #869-Belle DaleWillis,0,Not Restricted,"            ",
"       00870",District #870,9,00100,TM," "," ",18,OH,QC,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",58," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",603115,,,,,,,"       00870",District #870,0,Not Restricted,"            ",
"       00871",Dist # 871 - Clifford Almeida,9,00100,DS," "," ",13,OH,BC,871,BCJ," "," "," "," "," ",01," ",96," "," "," "," ",97," ",13," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," ",10," "," "," "," "," ",1,DS," "," "," ",674576,,,,,,,"       00871",Dist # 871 - Clifford Almeida,0,Not Restricted,"            ",
"       00872",District #872 - K. Rose,9,00170,DS," "," ",27,OH,NL,872,NH,N/A," "," "," "," "," "," ",24," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",674577,,,,,,,"       00872",District #872 - K. Rose,0,Not Restricted,"            ",
"       00873",District #873 - K. De Paiva,9,00100,DS," "," ",17,OH,ON,873,OR,N/A," "," "," "," "," "," ",117," "," "," "," ",31," ",17," "," "," "," "," "," "," "," "," ",06," ",88," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",671431,,,,,,,"       00873",District #873 - K. De Paiva,0,Not Restricted,"            ",
"       00874",District #874 - Kenny DePavia,9,00750,DS," "," ",26,OH,ON,874,CB3," "," "," "," "," "," "," ",122," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",10," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00874",District #874 - Kenny DePavia,0,Not Restricted,"            ",
"       00875",SSP Sep Cost Trans Serv Agrmnt,9,00400,TM," "," ",40,OS,ON," ",OR," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       00875",SSP Sep Cost Trans Serv Agrmnt,0,Not Restricted,"            ",
"       00876",District #876 - Eric Salmon-CL,9,00100,DS," "," ",13,OH,BC,876,BCJ," "," "," "," "," "," "," ",96," "," "," "," "," "," ",13," "," "," "," "," "," "," "," "," ",64," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",,,,,,,,"       00876",District #876 - Eric Salmon-CL,0,Not Restricted,"            ",
"       00877",District #877 - Todd Walsh,9,00100,DS," "," ",38,OH,BC,877,BCJ," "," "," "," "," ",01," ",85," "," "," "," ",52," ",13," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",10," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00877",District #877 - Todd Walsh,0,Not Restricted,"            ",
"       00878",District #878 - G. Adair,9,00100,DS," "," ",27,OH,ON,878,OJ,PRR," "," "," "," "," "," ",91," "," "," "," ",137," ",27," "," "," "," "," "," "," "," "," ",64," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",729993,,,,,,,"       00878",District #878 - G. Adair,0,Not Restricted,"            ",
"       00879",District #879-D.Abou El Hassan,9,00100,DS," "," ",17,OH,ON,879,OR," "," "," "," "," "," "," ",49," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",757660,,,,,,,"       00879",District #879-D.Abou El Hassan,0,Not Restricted,"            ",
"       00880",District #880 - Kevin Sweerts,9,00100,DS," "," ",27,OH,ON,880,OR," "," "," "," "," "," "," ",91," "," "," "," ",37," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",765574,,,,,,,"       00880",District #880 - Kevin Sweerts,0,Not Restricted,"            ",
"       00881",District #881- Thomas Atkinson,9,00100,DS," "," ",27,OH,ON,881,OR," "," "," "," "," "," "," ",91," "," "," "," ",134," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",767780,,,,,,,"       00881",District #881- Thomas Atkinson,0,Not Restricted,"            ",
"       00882",District #882 - Ward McKay,9,00100,DS," "," ",17,OH,ON,882,OR," "," "," "," "," "," "," ",27," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",767836,,,,,,,"       00882",District #882 - Ward McKay,0,Not Restricted,"            ",
"       00883",District #883 -  Pamela Chang,9,00100,DS," "," ",13,OH,BC,883,BCB,N/A," "," "," "," "," "," ",96," "," "," "," ",52," ",13," "," "," "," "," "," "," "," "," ",07," ",22," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",768020,,,,,,,"       00883",District #883 -  Pamela Chang,0,Not Restricted,"            ",
"       00884",Robert Bertin Overhead,9,00100,RD," "," ",27,OH,ON," ",OR,N/A," "," "," "," "," "," ",91," "," "," "," ",37," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,RD," "," "," ",770625,,,,,,,"       00884",Robert Bertin Overhead,0,Not Restricted,"            ",
"       00885",District #885 -  Tom Holland,9,00100,DS," "," ",27,OH,BC,885,BCB," "," "," "," "," "," "," ",67," "," "," "," ",170," ",27," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",771385,,,,,,,"       00885",District #885 -  Tom Holland,0,Not Restricted,"            ",
"       00886",District #886 - Tony Nguyen,9,00100,DS," "," ",17,OH,ON,886,OR," "," "," "," "," "," "," ",117," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",06,90,88," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",784501,,,,,,,"       00886",District #886 - Tony Nguyen,0,Not Restricted,"            ",
"       00887",District 887- Lisa Miron,9,00100,DS," "," ",27,OH,ON,887,OR," "," "," "," "," "," "," ",91," "," "," "," ",41," ",27," "," "," "," "," "," "," ",NI," ",58," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",799122,,,,,,,"       00887",District 887- Lisa Miron,0,Not Restricted,"            ",
"       00888",Transition-Village Host/Clover,9,00100,TM," "," ",08,OS,ON," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       00888",Transition-Village Host/Clover,0,Not Restricted,"            ",
"       00889",Quality Control Managers - ON,9,00100,DS," "," ",27,OH,ON,889,OR," "," "," "," "," "," "," ",91," "," "," "," ",102," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",774362,,,,,,,"       00889",Quality Control Managers - ON,0,Not Restricted,"            ",
"       00890",Dist.890-Gene DaSilva - OH,9,00750,DS," "," ",44,OH,ON,890,CON," "," "," "," "," "," "," ",114,C06," "," ",N/A,147," ",03," "," "," "," "," "," "," "," "," ",06," "," "," ",N/A," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",786920,,,,,,,"       00890",Dist.890-Gene DaSilva - OH,0,Not Restricted,"            ",
"       00891",District #891 -  Robert Bertin,9,00100,DS," "," ",27,OH,ON,891,OR,N/A," "," "," "," "," "," ",91," "," "," "," ",37," ",27," "," "," "," "," "," "," "," "," ",06," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",775084,,,,,,,"       00891",District #891 -  Robert Bertin,0,Not Restricted,"            ",
"       00892",District 892 - Robert Enders,9,00100,DS," "," ",17,OH,NS,892,NSH,N/A," "," "," "," "," "," ",08," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",50," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",800061,,,,,,,"       00892",District 892 - Robert Enders,0,Not Restricted,"            ",
"       00893",District 893 - Greg Bayne,9,00100,DS," "," ",17,OH,NS,893,NSH,N/A," "," "," "," "," "," ",08," "," "," "," "," "," ",17," "," "," "," "," "," "," "," "," ",03," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",,,,,,,,"       00893",District 893 - Greg Bayne,0,Not Restricted,"            ",
"       00894",District #894 - Fiona Lee - TM,9,00100,DS," "," ",13,OH,BC,894,BCJ," "," "," "," "," "," "," ",96," "," "," "," "," "," ",13," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," "," ",DS," "," "," ",779284,,,,,,,"       00894",District #894 - Fiona Lee - TM,0,Not Restricted,"            ",
"       00895",District #895 - A. Turner,9,00100,DS," "," ",27,OH,BC,895,BCB," "," "," "," "," "," "," ",92," "," "," "," ",114," ",27," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",782691,,,,,,,"       00895",District #895 - A. Turner,0,Not Restricted,"            ",
"       00896",Quality Control Managers - BC,9,00100,DS," "," ",27,OH,BC,896,BCB," "," "," "," "," "," "," ",91," "," "," "," ",102," ",27," "," "," "," "," "," "," "," "," ",07," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",783472,,,,,,,"       00896",Quality Control Managers - BC,0,Not Restricted,"            ",
"       00897",District #897 - Callinda John,9,00100,DS," "," ",27,OH,BC,897,BCB," "," "," "," "," "," "," ",92," "," "," "," "," "," ",27," "," "," "," "," "," "," "," "," ",07," ",14," "," "," "," ",OH," "," "," "," "," "," "," "," "," "," ",1,DS," "," "," ",785883,,,,,,,"       00897",District #897 - Callinda John,0,Not Restricted,"            ",
"       00898",Transition Expense - HSD,9,00150,TM," "," ",08,OS,ON," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",TM," ",N," ",,,,,,,,"       00898",Transition Expense - HSD,0,Not Restricted,"            ",
